id;number;stage;area_m2;price_total_clp;reservation_amount_clp;status;reserved_until;reserved_at;reserved_by;order_id;updated_at;cuotas;pie;valor_cuota;last_installment_amount
166;35;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.546;63;1500000;550000;390000
167;36;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.549;63;1500000;550000;390000
171;40;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.567;63;1500000;550000;390000
18;18;1;200;35990000;500000;available;;;;ALM180831934288;2026-02-11 17:46:23.902;63;1500000;550000;390000
19;19;1;200;35990000;;available;;;;;2026-03-06 14:48:55.649;63;1500000;550000;390000
21;21;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.915;63;1500000;550000;390000
48;47;2;303.52;27900000;200000;sold;;;;;2026-03-06 21:30:49.362;43;4500000;550000;300000
91;42;2;390;43990000;500000;sold;;;;ALM910127314766;2026-03-10 21:29:53.508;78;1500000;550000;140000
130;38;3;390;43990000;500000;sold;2026-02-24 22:52:41.64;2026-02-24 22:50:41.64;session_1771972423179_oabiokydh;ALM1301973441640;2026-03-10 21:31:45.674;77;2000000;550000;190000
201;43;3;;42900000;500000;sold;;;;;2026-02-16 05:21:09.843;;;;
196;65;4;;0;500000;sold;;;;;2026-02-16 05:22:57.321;;;;
175;44;4;;0;500000;sold;;;;;2026-02-16 05:23:17.808;;;;
22;22;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.919;63;1500000;550000;390000
16;16;1;200;35990000;500000;sold;2026-02-26 19:05:58.686;2026-02-26 19:03:58.686;session_1772132520031_ktts0e4nd;ALM162132638686;2026-03-12 00:03:06.305;64;1000000;550000;340000
122;30;3;390;43990000;500000;"available
";2026-02-15 19:38:36.212;2026-02-15 19:36:36.212;session_1771184140615_vwuursp60;ALM1221184196212;2026-02-15 19:36:59.979;77;2000000;550000;190000
183;52;4;390;43990000;500000;"available
";2026-02-15 19:48:37.222;2026-02-15 19:46:37.222;session_1771184757564_mjly5epel;ALM1831184797222;2026-02-15 19:47:02.008;77;2000000;550000;190000
31;31;1;390;43990000;500000;sold;2026-03-01 18:25:21.153;2026-03-01 18:23:21.153;session_1772389270819_mqty1u0ej;ALM312389401153;2026-03-12 03:58:26.305;77;2000000;550000;190000
172;41;4;;0;500000;sold;;;;;2026-02-16 05:23:05.335;;;;
199;44;2;390;35900000;500000;sold;;;;;2026-03-09 17:12:52.053;52;7500000;550000;349998
156;25;4;449.28;0;500000;sold;;;;;2026-02-16 05:23:25.973;;;;
202;42;3;390;35900000;200000;sold;;;;;2026-03-09 17:14:03.53;82;7500000;350000;50000
17;17;1;200;35990000;500000;sold;2026-03-15 18:45:32.227;2026-03-15 18:43:32.227;session_1773600086057_c9toldzmi;ALM173600212228;2026-03-15 18:44:54.385;64;1000000;550000;340000
35;35;1;390;43990000;500000;sold;2026-02-25 15:55:43.953;2026-02-25 15:53:43.953;session_1772034664615_kkvgmaka2;ALM352034823953;2026-02-26 01:03:02.388;77;2000000;550000;190000
126;34;3;390;43990000;500000;reserved;2026-02-26 01:56:01.559;2026-02-26 01:54:01.559;session_1772070810424_gve01rp8t;ALM1262070841559;2026-02-26 01:54:01.559;77;2000000;550000;190000
20;20;1;200;35990000;500000;sold;2026-02-21 15:41:06.951;2026-02-21 15:39:06.951;session_1771688227311_1izk6w3ur;ALM201688346951;2026-03-10 21:27:15.593;64;1000000;550000;340000
23;23;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.924;63;1500000;550000;390000
203;41;3;390;43990000;500000;sold;2026-03-01 17:23:32.899;2026-03-01 17:21:32.899;session_1772385606716_fci1s39ht;ALM2032385692900;2026-03-10 21:33:15.234;77;2000000;550000;190000
67;18;2;200;35990000;500000;reserved;2026-03-15 09:32:27.551;2026-03-15 09:30:27.551;session_1773567000579_4apno17vx;ALM673567027551;2026-03-15 09:30:27.551;64;1000000;550000;340000
53;4;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.065;63;1500000;550000;390000
54;5;2;200;35990000;500000;available;;;;ALM540413810613;2026-02-11 17:46:24.069;63;1500000;550000;390000
63;14;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.104;63;1500000;550000;390000
68;19;2;200;35990000;500000;available;;;;ALM680230223100;2026-02-11 17:46:24.124;63;1500000;550000;390000
70;21;2;200;35990000;500000;available;;;;ALM700125467271;2026-02-11 17:46:24.13;63;1500000;550000;390000
64;15;2;200;35990000;500000;"available
";2026-02-15 20:12:12.162;2026-02-15 20:10:12.162;session_1771186172173_cn9e32aca;ALM641186212162;2026-02-15 20:10:30.403;64;1000000;550000;340000
62;13;2;200;35990000;500000;available;;;;ALM620125612374;2026-02-11 17:46:24.099;63;1500000;550000;390000
71;22;2;200;35990000;500000;available;;;;ALM710090722690;2026-02-11 17:46:24.132;63;1500000;550000;390000
72;23;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.135;63;1500000;550000;390000
177;46;4;316.56;44990000;500000;available;;;;;2026-02-11 17:46:24.593;76;3500000;550000;240000
121;29;3;390;44990000;500000;available;;;;;2026-02-11 17:46:24.369;76;3500000;550000;240000
180;49;4;390;44990000;500000;available;;;;;2026-02-11 17:46:24.604;76;3500000;550000;240000
181;50;4;390;44990000;500000;available;;;;;2026-02-11 17:46:24.607;76;3500000;550000;240000
